"Algún contenido ha sido publicado.","Comentario creado","Curso visto","Entrega creada.","Finalización de actividad de curso actualizada","Formulario de entrega visto.","Ha comenzado el intento","Intento de cuestionario visualizado","Intento del cuestionario revisado","Intento enviado","Mensaje creado","Módulo de curso visto","Perfil de usuario visto","Resumen del intento de cuestionario visualizado","Se ha enviado una entrega","Se ha suscrito a esta discusión","Se ha visualizado el estado de la entrega.","Tema creado","Tema visto","Un fichero ha sido subido.","Usuario calificado","Lista de usuarios vista","Mensaje borrado","Se ha borrado la suscripción de esta discusión","Tema borrado","Informe de notas de usuario visto","Mensaje actualizado","Instancia del módulo del curso visualizada","Informe de resumen de notas visto","Lista de insignias vista","Envío actualizado.","Usuario matriculado en el curso","Elemento de calificación actualizado","Informe del usuario visualizado","Informe usuario del curso visto","Suscripción activada","Curso actualizado","Elemento de calificación creado",completo
"4","1","531","1","5","2","1","5","1","1","2","180","8","1","1","2","4","2","107","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1
"2","0","39","0","0","0","0","0","0","0","0","14","3","0","0","2","0","2","36","0","0","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","87","0","1","0","0","0","0","0","0","27","6","0","0","0","0","0","3","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0",0
"2","0","104","0","0","0","1","3","2","1","1","10","5","2","0","1","0","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1
"4","0","83","0","0","0","1","2","2","1","1","35","0","1","0","3","1","2","10","0","1","5","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0",0
"2","0","168","0","0","0","0","0","0","0","0","71","7","0","0","1","2","1","68","0","0","5","0","0","0","0","1","7","0","0","0","0","0","0","0","0","0","0",1
"5","0","214","0","2","0","1","9","0","0","0","63","1","0","0","1","5","1","30","0","0","0","0","0","0","7","4","8","4","0","0","0","0","0","0","0","0","0",1
"3","0","228","0","0","0","1","5","1","1","1","90","10","1","0","2","1","2","115","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0",0
"0","0","153","0","2","0","0","0","0","0","0","19","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1
"5","0","91","0","0","0","0","0","0","0","0","38","0","0","0","5","2","5","16","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","384","0","1","0","1","6","0","0","0","84","1","0","0","0","0","0","93","0","0","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",1
"0","0","15","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","178","0","0","1","1","2","0","0","0","62","2","0","0","0","0","0","39","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1
"0","0","148","0","2","0","1","6","1","1","0","37","2","1","0","0","6","0","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1
"7","0","207","0","0","0","1","2","1","1","3","60","0","1","0","3","0","2","32","0","1","1","1","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","15","0","3","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","196","0","0","0","1","1","0","0","0","76","3","0","0","0","0","0","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1
"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","188","1","12","3","1","2","1","1","0","54","3","1","2","0","8","0","13","2","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0",1
"6","0","102","0","0","0","1","2","1","1","1","59","2","1","0","4","0","4","53","0","1","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0",1
"0","0","101","0","4","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0",1
"0","0","96","0","0","0","0","0","0","0","0","6","1","0","0","0","0","0","2","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","106","0","4","0","0","0","0","0","0","19","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0",0
"0","0","124","0","0","0","0","0","0","0","0","10","4","0","0","0","0","0","6","0","0","3","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0",1
"0","0","50","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","403","0","0","0","1","4","1","1","0","129","0","1","0","0","0","0","68","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1
"0","0","156","0","9","0","0","0","0","0","0","32","0","0","0","0","0","0","57","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",1
"2","0","204","0","12","0","1","2","1","1","2","69","6","1","0","2","1","0","20","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","52","0","3","0","0","0","0","0","0","7","0","0","0","0","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","26","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","72","0","1","0","0","0","0","0","0","15","0","0","0","0","1","0","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
